Name;ISIN;Symbol;Market;Currency;Open Price;High Price;low Price;last Price;last Trade MIC Time;Time Zone;Volume;Turnover;Closing Price;Closing Price DateTime
RAI WAY;IT0005054967;RWAY;Euronext Milan;EUR;4.805;4.865;4.79;4.865;08/03/2024 17:35;CET;645593;3.121.924.015;4.865;08/03/2024
RATTI;IT0004724107;RAT;Euronext Milan;EUR;2.40;2.44;2.37;2.44;08/03/2024 15:43;CET;1200;2866.23;2.44;08/03/2024
RCS MEDIAGROUP;IT0004931496;RCS;Euronext Milan;EUR;0.74;0.74;0.736;0.738;08/03/2024 17:35;CET;112095;82.752.848;0.738;08/03/2024
RECORDATI ORD;IT0003828271;REC;Euronext Milan;EUR;52.66;53.04;52.28;52.86;08/03/2024 17:35;CET;167208;8834905.98;52.86;08/03/2024
REPLY;IT0005282865;REY;Euronext Milan;EUR;126.30;128.10;124.30;127.60;08/03/2024 17:35;CET;37813;4807720.50;127.60;08/03/2024
RESTART;IT0005349052;RST;Euronext Milan;EUR;0.17;0.1825;0.17;0.1815;08/03/2024 14:22;CET;16823;30.141.235;0.1815;08/03/2024
REVO INSURANCE;IT0005513202;REVO;Euronext Milan;EUR;8.72;8.84;8.50;8.54;08/03/2024 17:35;CET;12980;112357.16;8.54;08/03/2024
RISANAMENTO;IT0001402269;RN;Euronext Milan;EUR;0.0305;0.0311;0.0295;0.0304;08/03/2024 17:35;CET;9017478;2.718.201.794;0.0304;08/03/2024
S.S. LAZIO;IT0003621783;SSL;Euronext Milan;EUR;0.67;0.68;0.66;0.67;08/03/2024 17:35;CET;40461;26.920.196;0.67;08/03/2024
SABAF;IT0001042610;SAB;Euronext Milan;EUR;16.38;16.68;16.00;16.06;08/03/2024 17:35;CET;12718;205090.34;16.06;08/03/2024
SAES GETTERS;IT0001029492;SG;Euronext Milan;EUR;34.75;35.00;34.60;34.80;08/03/2024 17:35;CET;25944;903367.95;34.80;08/03/2024
SAFILO GROUP;IT0004604762;SFL;Euronext Milan;EUR;1.186;1.209;1.176;1.182;08/03/2024 17:39;CET;1449138;1.730.928.374;1.182;08/03/2024
SAIPEM;IT0005495657;SPM;Euronext Milan;EUR;2.01;2.039;1.997;19.985;08/03/2024 17:35;CET;49927978;1.007.451.498.965;19.985;08/03/2024
SAIPEM RISP CV;IT0005495673;SPMR;Euronext Milan;EUR;101.00;101.00;101.00;101.00;08/02/2024 17:35;CET;5;505.00;101.00;08/03/2024
SALCEF GROUP;IT0005388266;SCF;Euronext Milan;EUR;22.60;22.65;22.35;22.65;08/03/2024 17:35;CET;29980;675801.10;22.65;08/03/2024
SALV FERRAGAMO;IT0004712375;SFER;Euronext Milan;EUR;11.68;11.86;11.57;11.60;08/03/2024 17:35;CET;292108;3414547.83;11.60;08/03/2024
SANLORENZO;IT0003549422;SL;Euronext Milan;EUR;40.45;40.75;40.20;40.35;08/03/2024 17:35;CET;33479;1355270.25;40.35;08/03/2024
SARAS;IT0000433307;SRS;Euronext Milan;EUR;17.505;17.565;17.465;1.75;08/03/2024 17:35;CET;2974271;52.121.858.785;1.75;08/03/2024
SECO;IT0005438046;IOT;Euronext Milan;EUR;3.48;3.48;3.364;3.426;08/03/2024 17:35;CET;409969;1401919.01;3.426;08/03/2024
SERI INDUSTRIAL;IT0005283640;SERI;Euronext Milan;EUR;2.58;2.60;2.395;2.535;08/03/2024 17:35;CET;427495;1.061.447.735;2.535;08/03/2024
SERVIZI ITALIA;IT0003814537;SRI;Euronext Milan;EUR;1.775;1.775;1.775;1.775;08/03/2024 17:35;CET;50;88.75;1.775;08/03/2024
SESA;IT0004729759;SES;Euronext Milan;EUR;113.80;114.80;113.00;113.20;08/03/2024 17:35;CET;13086;1488414.80;113.20;08/03/2024
SIT;IT0005262149;SIT;Euronext Milan;EUR;2.13;2.18;2.08;2.17;08/03/2024 17:35;CET;24661;52727.56;2.17;08/03/2024
SNAM;IT0003153415;SRG;Euronext Milan;EUR;4.476;4.539;4.45;4.529;08/03/2024 17:35;CET;6397617;28.888.455.157;4.529;08/03/2024
SOFTLAB;IT0001469953;SFT;Euronext Milan;EUR;1.45;1.45;1.38;1.435;08/03/2024 17:35;CET;11576;16.115.825;1.435;08/03/2024
SOGEFI;IT0000076536;SGF;Euronext Milan;EUR;2.91;2.915;2.805;2.84;08/03/2024 17:35;CET;645162;1829095.06;2.84;08/03/2024
SOL;IT0001206769;SOL;Euronext Milan;EUR;30.00;30.65;29.95;30.50;08/03/2024 17:36;CET;24722;750945.65;30.50;08/03/2024
SOMEC;IT0005329815;SOM;Euronext Milan;EUR;23.80;24.30;23.00;23.50;08/03/2024 17:35;CET;4777;112628.70;23.50;08/03/2024
STELLANTIS;NL00150001Q9;STLAM;Euronext Milan;EUR;25.14;25.255;25.055;25.105;08/03/2024 17:38;CET;6583981;165600553.43;25.105;08/03/2024
STMICROELECTRONICS;NL0000226223;STMMI;Euronext Milan;EUR;44.475;44.58;43.405;43.45;08/03/2024 17:35;CET;2085815;91830829.80;43.45;08/03/2024
TAMBURI;IT0003153621;TIP;Euronext Milan;EUR;8.96;9.04;8.92;8.99;08/03/2024 17:35;CET;114869;1033077.89;8.99;08/03/2024
TECHNOGYM;IT0005162406;TGYM;Euronext Milan;EUR;9.225;9.28;9.20;9.25;08/03/2024 17:35;CET;257198;2.377.330.885;9.25;08/03/2024
TECHNOPROBE;IT0005482333;TPRO;Euronext Milan;EUR;9.29;9.435;9.00;9.00;08/03/2024 17:36;CET;287375;2620609.95;9.00;08/03/2024
TELECOM ITALIA;IT0003497168;TIT;Euronext Milan;EUR;0.22;0.228;0.212;0.222;08/03/2024 17:36;CET;1396354522;3.064.011.700.929;0.222;08/03/2024
TELECOM ITALIA R;IT0003497176;TITR;Euronext Milan;EUR;0.225;0.2332;0.218;0.2263;08/03/2024 17:36;CET;196243736;439.408.609.093;0.2263;08/03/2024
